question,reference
"Giá vàng thế giới quy đổi theo tỷ giá Vietcombank ngày 10/06/2025 là bao nhiêu, chưa tính thuế và phí?","Quy đổi theo tỷ giá hiện hành tại Vietcombank, giá vàng thế giới tương đương với mức giá khoảng 103,639 triệu đồng/lượng (chưa tính thuế, phí)."
Vàng miếng SJC đang đắt hơn giá vàng thế giới khoảng bao nhiêu vào ngày 12/6?,Vàng miếng SJC đang đắt hơn giá vàng thế giới khoảng 13 triệu đồng/lượng.
Giá niêm yết bạc Phú Quý (mua vào và bán ra) của Tập đoàn Vàng bạc Đá quý Phú Quý (Hà Nội) vào sáng 12/6 là bao nhiêu?,"Tập đoàn Vàng bạc Đá quý Phú Quý (Hà Nội), niêm yết giá bạc Phú Quý ở mức 1.393.000 đồng/lượng (mua vào) và 1.436.000 đồng/lượng (bán ra)."
Diễn biến chính của các hợp đồng tương lai và thanh khoản trên thị trường chứng khoán phái sinh ngày 9/6/2025 là gì?,"Các hợp đồng tương lai tiếp tục giảm điểm trên thị trường chứng khoán phái sinh phiên giao dịch ngày 9/6. Mức giảm của các hợp đồng tương đối lớn, tương tự thị trường cơ sở. Thanh khoản thị trường tiếp tục giảm so với phiên giao dịch trước đó."
Ngành nào là nhóm có mức giảm mạnh nhất thị trường trong phiên giao dịch ngày 9/6/2025?,"Ngành bất động sản là nhóm có mức giảm mạnh nhất thị trường, trong đó các mã VIC và VHM giảm hết biên độ."
Ngày đăng ký cuối cùng để cổ đông VIX thực hiện quyền nhận cổ tức bằng cổ phiếu năm 2024 là ngày nào?,Ngày đăng ký cuối cùng để thực hiện quyền là 19/6/2025.
Vốn điều lệ của VINARE dự kiến tăng lên bao nhiêu sau khi thực hiện phương án chi trả cổ tức năm 2024 bằng cổ phiếu?,"Sau khi thực hiện phương án chi trả cổ tức năm 2024 bằng cổ phiếu, vốn điều lệ của tổng công ty dự kiến sẽ tăng lên 2.006 tỷ đồng."
Ban lãnh đạo Rạng Đông đặc biệt lưu ý bao nhiêu nguy cơ trọng yếu có thể ảnh hưởng đến sức khoẻ doanh nghiệp trong giai đoạn tới?,"Trong bối cảnh đầy biến động này, ban lãnh đạo Rạng Đông đặc biệt lưu ý 3 nguy cơ trọng yếu có thể ảnh hưởng đến sức khoẻ của doanh nghiệp trong giai đoạn tới."
"Tính đến ngày 16/5/2025, Kho bạc Nhà nước đã phát hành bao nhiêu tỷ đồng trái phiếu Chính phủ và đạt bao nhiêu phần trăm kế hoạch cả năm?","Kho bạc Nhà nước đã phát hành 158.780 tỷ đồng trái phiếu Chính phủ, đạt 31,8% kế hoạch cả năm (500.000 tỷ đồng)."
Nghị quyết 68-NQ/TW đặt mục tiêu gì cho khu vực kinh tế tư nhân đến năm 2030?,Đến năm 2030 khu vực kinh tế tư nhân đóng góp 60 - 65% GDP và giữ vai trò chủ lực trong nhiều ngành.
"Nếu thị trường chứng khoán Việt Nam được nâng hạng vào tháng 9/2025, dự kiến sẽ thu hút được bao nhiêu vốn từ ETF và quỹ chủ động trong giai đoạn đầu?","Nếu được nâng hạng trong tháng 9/2025, thị trường chứng khoán Việt Nam có thể thu hút khoảng 700 triệu - 1,5 tỷ USD từ ETF và quỹ chủ động trong giai đoạn đầu."
Chỉ số VN-Index đóng cửa ở mức nào và thay đổi ra sao trong tuần giao dịch từ 2/6 đến 6/6?,"Đóng cửa tuần giao dịch 2 - 6/6, chỉ số VN-Index ở mức 1.329,89 điểm, giảm nhẹ 2,71 điểm (-0,20%)."
Mục tiêu về số lượng tài khoản nhà đầu tư cá nhân trong nước đã đạt được như thế nào tính đến cuối tháng 5?,"Đến cuối tháng 5, nhà đầu tư cá nhân trong nước có tổng cộng hơn 10 triệu tài khoản, tương đương 10% dân số, hoàn thành mục tiêu trước thời hạn 2025."
Nghị quyết 68-NQ/TW được đánh giá mang lại hiệu ứng gì cho các doanh nghiệp niêm yết và thị trường chứng khoán?,"Nghị quyết 68-NQ/TW tạo hiệu ứng tích cực cho các doanh nghiệp niêm yết. Thời gian tới, thị trường chứng khoán sẽ đón nhận sự gia tăng của các doanh nghiệp tham gia vào thị trường, doanh nghiệp cũng có thể nhận thấy thị trường chứng khoán là kênh huy động vốn dài hạn."
Cuộc họp song phương thường niên lần thứ 13 giữa Ủy ban Chứng khoán Nhà nước Việt Nam và Ủy ban Chứng khoán Lào diễn ra khi nào và ở đâu?,"Ngày 5/6/2024, tại Luông-Pha-Băng, Ủy ban Chứng khoán Nhà nước (UBCKNN) đã có cuộc họp song phương thường niên lần thứ 13 với Ủy ban Chứng khoán Lào (LSCO)."
Hợp đồng VN30F2506 đóng cửa ở mức nào và thay đổi bao nhiêu điểm vào ngày 6/6?,"Hợp đồng tháng hiện tại VN30F2506 đóng cửa tại 1.413,6 điểm, giảm -13,4 điểm so với phiên kế trước."
Khối ngoại đã bán ròng bao nhiêu trên sàn HOSE trong phiên giao dịch ngày 6/6/2025?,"Trên HOSE, khối ngoại bán ròng mạnh 2.042 tỷ đồng."
"Theo Nghị quyết 68-NQ/TW, khu vực kinh tế tư nhân đặt mục tiêu đóng góp bao nhiêu phần trăm vào GDP đến năm 2030?",Đến năm 2030 khu vực kinh tế tư nhân đóng góp 60–65% GDP và giữ vai trò chủ lực trong nhiều ngành.
TPS dự kiến phát hành trái phiếu tối đa bao nhiêu trong năm 2025?,TPS dự kiến phát hành trái phiếu tối đa 3.000 tỷ đồng trong năm 2025.
Điểm đóng cửa và mức thay đổi của hợp đồng VN30F2506 trong phiên 5/6 là gì?,"Hợp đồng tháng hiện tại VN30F2506 đóng cửa tại 1.427 điểm, giảm -3 điểm so với phiên kế trước."
"Trong khoảng thời gian từ ngày 10/4 đến cuối tháng 5/2025, những quỹ mở nào đạt mức lợi nhuận trên 20% và tỷ suất lợi nhuận cụ thể của từng quỹ là bao nhiêu?","Cụ thể, trong khoảng thời gian từ ngày 10/4 đến cuối tháng 5, một số quỹ mở tiêu biểu đạt mức lợi nhuận trên 20%, như DCDS tăng 26,41%, VCAMDF đạt 26,26%, VCBF-BCF ghi nhận 23,51%, BVFED 20,75%, UVEEF 20,59% và VINACAPITAL-VESAF 20,29%."
Khối lượng giao dịch bình quân sản phẩm hợp đồng tương lai chỉ số VN30 tháng 5/2025 là bao nhiêu và giảm bao nhiêu phần trăm so với tháng trước?,"Khối lượng giao dịch bình quân sản phẩm hợp đồng tương lai chỉ số VN30 đạt 184.904 hợp đồng/phiên, giảm 29,96% so với tháng trước."
Kho bạc Nhà nước đã huy động được bao nhiêu tỷ đồng qua hình thức đấu thầu trái phiếu chính phủ trong 5 tháng đầu năm 2025?,"Lũy kế 5 tháng đầu năm 2025, Kho bạc Nhà nước đã huy động được 170.917 tỷ đồng qua hình thức đấu thầu trái phiếu chính phủ, đạt 34,2% kế hoạch cả năm."
Chỉ số VN-Index đã thay đổi như thế nào khi kết thúc phiên giao dịch ngày 5/6/2025?,"Kết thúc phiên giao dịch, VN-Index giảm -3,65 điểm và giữ ở mức 1.342,09 điểm khi đóng cửa."
VN-Index trong tháng 5 đã ghi nhận sự hồi phục mạnh như thế nào?,"VN-Index trong tháng 5 đã ghi nhận sự hồi phục mạnh từ vùng 1.160 điểm lên đến 1.340 điểm, tương đương mức tăng khoảng 15%."
Kỳ vọng tăng trưởng của các doanh nghiệp niêm yết trên HOSE trong năm 2025 là bao nhiêu phần trăm?,Kỳ vọng tăng trưởng của các doanh nghiệp niêm yết trên HOSE sẽ đạt từ 12 - 17% trong năm 2025.
Giá trị vốn hóa cổ phiếu trên HOSE vào cuối tháng 5/2025 là bao nhiêu và đã tăng trưởng như thế nào so với tháng trước?,"Giá trị vốn hóa cổ phiếu trên HOSE đạt hơn 5,72 triệu tỷ đồng, tăng 11,76% so với tháng trước."
Chứng khoán Dầu khí bị xử phạt bao nhiêu tiền do mắc nhiều sai phạm?,Chứng khoán Dầu khí bị xử phạt 860 triệu đồng.
Khoảng cách chênh lệch của hợp đồng VN30F2506 so với chỉ số cơ sở vào ngày 4/6 ở mức nào?,"Mức giảm của hợp đồng này lớn hơn mức giảm của chỉ số cơ sở nên khoảng cách chênh lệch mở rộng với mức âm -5,28 điểm."
"Kết phiên ngày 4/6, VN-Index thay đổi ra sao và chốt ở mức nào?","Kết thúc phiên giao dịch, VN-Index giảm -1,51 điểm và giữ ở mức 1.345,74 điểm."
"Theo Thông tư số 19/2025/TT-BTC, công ty đại chúng bị hủy tư cách trong những trường hợp nào?","công ty đại chúng bị hủy tư cách công ty đại chúng khi không còn đáp ứng một trong các điều kiện của công ty đại chúng quy định; không thực hiện công bố thông tin trong 02 năm liên tục về báo cáo tài chính năm được kiểm toán; không thực hiện công bố thông tin trong 2 năm liên tục về nghị quyết đại hội đồng cổ đông thường niên. Trong 1 năm kể từ ngày Ủy ban Chứng khoán Nhà nước xác nhận hoàn tất việc đăng ký công ty đại chúng hoặc kể từ ngày kết thúc đợt chào bán ra công chúng, công ty không thực hiện đăng ký cổ phiếu tại Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam hoặc không thực hiện đăng ký niêm yết, đăng ký giao dịch cổ phiếu trên Sở Giao dịch chứng khoán."
P/E trailing của VN-Index hiện tại là bao nhiêu?,"P/E trailing của VN-Index hiện khoảng 12,9 lần, tương đương mức đầu năm và thấp hơn khoảng 16% so với trung bình 10 năm."
"Theo dự thảo Nghị quyết về triển khai thí điểm thị trường tài sản mã hóa tại Việt Nam, quy định về vốn điều lệ thực góp tối thiểu cho tổ chức vận hành sàn giao dịch tài sản mã hóa là gì?","Theo đó, tổ chức vận hành sàn giao dịch tài sản mã hóa phải có vốn điều lệ thực góp tối thiểu 10.000 tỷ đồng, mức yêu cầu cao hơn cả một số ngành như: ngân hàng, bảo hiểm hay hàng không."
"Theo dự báo của VBMA, tổng giá trị trái phiếu đến hạn thanh toán từ nay đến cuối năm 2025 là bao nhiêu?",Từ nay đến cuối năm 2025 sẽ có 151.870 tỷ đồng trái phiếu đến hạn thanh toán.
"Trong tuần từ 26/5 – 30/5, giá trị giao dịch outright bình quân mỗi ngày trên thị trường thứ cấp là bao nhiêu và có mức tăng trưởng nào so với tuần trước?","Giá trị giao dịch outright bình quân mỗi ngày đạt 13.646 tỷ đồng/phiên, tăng 12,9% so với tuần trước."
"Theo SSI Research, những cổ phiếu nào nhiều khả năng bị giảm tỷ trọng mạnh trong kỳ tái cơ cấu ETF quý II/2025 và do đâu?",VIC và VHM nhiều khả năng bị giảm tỷ trọng mạnh do vượt ngưỡng quy định.
Vốn điều lệ của Hòa Phát sẽ thay đổi cụ thể như thế nào sau đợt chia cổ tức bằng cổ phiếu tới đây?,"Sau đợt chia cổ tức này, vốn điều lệ của Hòa Phát sẽ tăng từ 63.963 tỷ đồng lên mức 76.755 tỷ đồng."
Khoảng cách chênh lệch của hợp đồng VN30F2506 vào ngày 3/6/2025 là bao nhiêu?,"Mức tăng của hợp đồng này lớn hơn mức tăng của chỉ số cơ sở, nên khoảng cách chênh lệch thu hẹp với mức -2,97 điểm."
Mức đỉnh mới của năm mà chỉ số VN-Index thiết lập vào ngày 3/6/2025 là bao nhiêu điểm?,"Kết thúc phiên giao dịch, VN-Index tăng +10,95 điểm, lên mức 1.347,25 điểm."
Việc Hệ thống KRX chính thức đi vào hoạt động trong tháng 5 vừa qua mang ý nghĩa gì đối với thị trường chứng khoán Việt Nam?,"Tháng 5 vừa qua, Hệ thống KRX chính thức đi vào hoạt động đánh dấu bước ngoặt quan trọng trong việc nâng cấp hạ tầng thị trường chứng khoán Việt Nam, tiến gần hơn tới các tiêu chuẩn quốc tế và mục tiêu nâng hạng trong năm 2025."
Hợp đồng VN30F2506 ngày 2/6 đóng cửa ở mức giá nào và thay đổi bao nhiêu điểm so với phiên trước?,"Hợp đồng tháng hiện tại VN30F2506 đóng cửa tại 1.415,1 điểm, giảm -4,4 điểm so với phiên kế trước."
Cổ phiếu nào bị khối ngoại bán ròng mạnh nhất toàn thị trường trong phiên ngày 2/6/2025?,"Chiều bán, cổ phiếu HPG bị khối ngoại bán ròng mạnh nhất toàn thị trường với giá trị 136 tỷ đồng."
Mục tiêu lợi nhuận sau thuế của Thủy sản Minh Phú trong năm 2025 là bao nhiêu?,Lợi nhuận sau thuế 997 tỷ đồng.
"Theo ông Vũ Duy Khánh, những lợi ích cụ thể của quy định cho phép nhà đầu tư nước ngoài mở nhiều tài khoản đầu tư gián tiếp tại một ngân hàng bằng đồng Việt Nam là gì?","Quy định cho phép nhà đầu tư nước ngoài mở nhiều tài khoản đầu tư gián tiếp tại một ngân hàng bằng đồng Việt Nam giúp chuẩn hóa giao dịch, tăng minh bạch và giảm rủi ro pháp lý – yếu tố quan trọng với các quỹ lớn như ETF hay quỹ chủ động. Việc tập trung dòng vốn còn đơn giản hóa kiểm soát, báo cáo và công bố thông tin, qua đó củng cố niềm tin vào độ an toàn của thị trường."
Mức điểm đóng cửa và mức tăng của VN-Index trong tuần từ 26/05 đến 30/05 là bao nhiêu?,"Đóng cửa tuần giao dịch 26/05 - 30/05, chỉ số VN-Index ở mức 1.332,60 điểm, tăng 18,14 điểm (+1,38%)."
Lý do ông Nguyễn Văn Tuấn xin từ nhiệm chức danh thành viên Hội đồng quản trị Viglacera là gì?,"Trong đơn, ông Nguyễn Văn Tuấn nêu rõ lý do từ nhiệm là để tập trung thời gian thực hiện các công việc theo kế hoạch."
Doanh thu hợp nhất và lợi nhuận trước thuế hợp nhất của Vietjet năm 2024 là bao nhiêu?,"Doanh thu hợp nhất đạt 72.045 tỷ đồng, lợi nhuận trước thuế đạt hơn 1.823 tỷ đồng."
Hợp đồng VN30F2506 đóng cửa ngày 30/5/2025 ở mức điểm nào và ghi nhận mức giảm bao nhiêu?,"Hợp đồng tháng hiện tại VN30F2506 đóng cửa tại 1.419,5 điểm, giảm -4,2 điểm so với phiên kế trước."
VN-Index đóng cửa ngày 30/5 giảm bao nhiêu điểm và ở mức nào?,"Vn-Index giảm -9,26 điểm và về mức 1.332,6 điểm."
Giao dịch bảo lãnh khoản vay không ràng buộc trị giá 79 triệu USD mang lại lợi ích gì cho GELEX?,"Giao dịch này không chỉ giúp GELEX đa dạng hóa nguồn vốn với chi phí cạnh tranh, mà còn mở rộng khả năng tiếp cận các định chế tài chính hàng đầu thế giới – mà không cần cam kết mua hàng hoặc ràng buộc thương mại với bên tài trợ."
Thông tư số 03/2025/TT-NHNN đã đơn giản hóa yêu cầu nào đối với hồ sơ mở tài khoản của nhà đầu tư nước ngoài?,"Theo Thông tư số 03/2025/TT-NHNN, nhà đầu tư nước ngoài không còn phải hợp pháp hóa lãnh sự hồ sơ khi mở tài khoản, giúp rút ngắn thời gian mở tài khoản."
Group Bắc Việt bị phạt hơn 112 triệu đồng vì lý do gì?,"Công ty còn bị phạt hơn 112 triệu đồng do không mời đại diện tổ chức kiểm toán được chấp thuận thực hiện kiểm toán báo cáo tài chính năm của công ty dự họp đại hội đồng cổ đông thường niên trong trường hợp Báo cáo kiểm toán báo cáo tài chính năm của công ty có khoản ngoại trừ trọng yếu, ý kiến kiểm toán trái ngược hoặc từ chối."
Hợp đồng VN30F2506 đóng cửa ra sao và khoảng cách chênh lệch âm với chỉ số cơ sở thay đổi thế nào trong phiên 29/5?,"Hợp đồng tháng hiện tại VN30F2506 đóng cửa tại 1.423,7 điểm, tăng +2,5 điểm so với phiên kế trước. Mức tăng của hợp đồng này trái ngược với mức giảm của chỉ số cơ sở nên khoảng cách chênh lệch âm thu hẹp với mức -7,87 điểm."
Giá trị bán ròng của khối ngoại trên sàn HOSE trong phiên giao dịch ngày 29/5 là bao nhiêu?,"Trên HOSE, khối ngoại bán ròng xấp xỉ 256 tỷ đồng."
Nguyên nhân khiến HOSE chuyển cổ phiếu SMC sang diện cảnh báo là gì?,HOSE chuyển cổ phiếu SMC sang diện cảnh báo do lợi nhuận chưa phân phối báo âm trong năm 2024.
"Theo thông tin cung cấp, lý do chính khiến thị trường chứng khoán toàn cầu giảm điểm trong phiên 28/5 là gì?",Thị trường chứng khoán toàn cầu đồng loạt giảm điểm trong phiên 28/5 khi sự lạc quan về việc căng thẳng thuế quan hạ nhiệt đã tan biến.
VNDIRECT đã hoàn tất tăng vốn điều lệ lên bao nhiêu và bằng hình thức nào?,"Đồng thời, VNDIRECT đã hoàn tất tăng vốn điều lệ lên 15.223 tỷ đồng thông qua chào bán cổ phiếu cho cổ đông hiện hữu."
"Theo báo cáo của FiinGroup, nguyên nhân nào khiến thị trường biến động mạnh trong tháng 4/2025?",Kế hoạch áp thuế lên tới 46% của Mỹ đối với hàng hóa Việt Nam.
Hợp đồng VN30F2506 đóng cửa tại mức điểm nào vào ngày 28/5?,"Hợp đồng tháng VN30F2506 đóng cửa tại 1.421,2 điểm."
Nhóm cổ phiếu nào đóng vai trò chủ yếu trong việc kéo VN-Index tăng điểm vào ngày 28/5?,Nhóm cổ phiếu Vingroup.
Mức tăng trưởng lợi nhuận sau thuế của khối ngân hàng thương mại tư nhân trong quý I/2025 so với quý trước là bao nhiêu?,"Khối ngân hàng thương mại tư nhân ghi nhận mức tăng trưởng ấn tượng 22,6% so với quý trước."
"Đến nay, chương trình học bổng “Ươm tạo nhà khoa học trẻ KBSV – ĐHQGHN” đã trao tặng bao nhiêu suất học bổng và tổng giá trị là bao nhiêu?","Đến nay, chương trình đã trao tặng 120 suất học bổng với giá trị 3 tỷ đồng cho các bạn sinh viên xuất sắc."
Nguyên nhân chủ yếu nào khiến Yeah1 điều chỉnh kế hoạch kinh doanh của công ty mẹ giai đoạn 2025 - 2026 với doanh thu và lợi nhuận sụt giảm so với năm 2024?,Nguyên nhân chủ yếu đến từ sự suy giảm ở mảng ở mảng truyền thông và bản quyền số.
Khối ngoại đã mua ròng trái phiếu chính phủ với tổng giá trị bao nhiêu trong tuần từ 19/5 đến 23/5?,207 tỷ đồng.
"Lũy kế từ đầu năm, tổng giá trị phát hành trái phiếu doanh nghiệp là bao nhiêu?","Lũy kế từ đầu năm, tổng giá trị phát hành trái phiếu doanh nghiệp đã lên tới 91.918 tỷ đồng."
Thanh khoản toàn thị trường chứng khoán phái sinh ngày 27/5 như thế nào so với phiên giao dịch trước đó?,Thanh khoản toàn thị trường chứng khoán phái sinh thu hẹp so với phiên giao dịch trước đó.
